course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username,diff_date,avg_views,base_date,excerpt_notes
334463,3500432,Electromagnetics and Transmission Line Theory,319,ESE,73511,779702,JayantParekh,0,JayantParekh,779702,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/334463-ESE319/,64,Stony Brook University,3,Spring,1,2014,3500432,17732533,PRACTICE PROBLEMS FOR TRANSMISSION LINESPROBLEM:A loss-less transmission line is to be used for impedance matching between a generator and aHertzian dipole antenna with a radiation resistance of 75 . The generator is characterized withan output impeda,11/13/16 20:41,34,1f403bc502f23eae90effe752ca89561d6b1f090,TRUE,FALSE,https://www.coursehero.com/file/17732533/Test-1-practice-problems/,Test 1 practice problems,668,test_prep,Assignment,Test prep,1.00001E+14,pz159951,2669,0.250281004,3/5/24 10:00,
334463,1949048,Electromagnetics and Transmission Line Theory,319,ESE,73511,125665,DHADWAL,0,DHADWAL,125665,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/334463-ESE319/,64,Stony Brook University,4,Summer,1,2014,1949048,66769386,,8/20/20 21:21,11,0c85dd9a52dbec1e9455f7b7383949c20f301685,FALSE,FALSE,https://www.coursehero.com/file/66769386/052119-ESE-319-Final-Exam-pdf-versionpdf/,052119-ESE-319-Final-Exam-pdf-version.pdf,108,,Other,,1.00001E+14,james.martino,1293,0.083526682,3/5/24 10:00,Illegible
334463,3500432,Electromagnetics and Transmission Line Theory,319,ESE,73511,779702,JayantParekh,0,JayantParekh,779702,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/334463-ESE319/,64,Stony Brook University,3,Spring,1,2014,3500432,32167004,"Problem 9.1 A center-fed Hertzian dipole is excited by a current I0 = 20 A. If thedipole is /50 in length, determine the maximum radiated power density at a distanceof 1 km.Solution: From Eq. (9.14), the maximum power density radiated by a Hertzian dip",7/21/18 14:49,5,312f76413e6d854559e9e76c196c82503ba8dbed,TRUE,FALSE,https://www.coursehero.com/file/32167004/HW-10b-solspdf/,HW #10b_sols.pdf,156,,Other,,1.00001E+14,svdhawdvd,2054,0.075949367,3/5/24 10:00,
334463,1949049,Electromagnetics and Transmission Line Theory,319,ESE,73511,125665,DHADWAL,0,DHADWAL,125665,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/334463-ESE319/,64,Stony Brook University,4,Summer,1,2013,1949049,9173391,"COURSESYLLABUSFORESE319SUMMER2013INSTRUCTOR:J.P.Parekhjpvparekh@gmail.comRm.225,LightEngineeringBldg.RECOMMENDEDTEXT: Ulaby,FundamentalsofAppliedElectromagnetics (6thEdition),PrenticeHall,2010I.Electricalchargesasthesourceofallelectricalphenomena",4/9/14 14:10,2,f8b485b1cf6944f13889bfca3e80a710c1d481f1,FALSE,FALSE,https://www.coursehero.com/file/9173391/070513-COURSE-SYLLABUS-FOR-ESE-319-summer-2013/,070513 COURSE SYLLABUS FOR ESE 319 summer 2013,243,notes,Syllabus,Notes,1.00001E+14,MatthewP37,3618,0.067164179,3/5/24 10:00,
334463,28238251,Electromagnetics and Transmission Line Theory,319,ESE,73511,779702,JayantParekh,0,JayantParekh,779702,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/334463-ESE319/,64,Stony Brook University,3,Spring,1,2023,28238251,35190583,,11/3/18 18:49,11,324a9624e0565448e91733a0a7a9782162262add,FALSE,FALSE,https://www.coursehero.com/file/35190583/Final-exam-with-solutionpdf/,Final-exam-with-solution.pdf,125,test_prep,Other,Test prep,1.00001E+14,muhammedmehdi,1949,0.064135454,3/5/24 10:00,
334463,5936398,Electromagnetics and Transmission Line Theory,319,ESE,73511,779702,JayantParekh,0,JayantParekh,779702,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/334463-ESE319/,64,Stony Brook University,1,Fall,0,2016,5936398,66769395,,8/20/20 21:21,8,5db8cf0a86d8973d82817d8db2e856e1986fc7d9,FALSE,FALSE,https://www.coursehero.com/file/66769395/319-Finalpdf/,319 Final.pdf,55,,Other,,1.00001E+14,james.martino,1293,0.042536736,3/5/24 10:00,
334463,334463,Electromagnetics and Transmission Line Theory,319,ESE,73511,125665,DHADWAL,0,DHADWAL,125665,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/334463-ESE319/,64,Stony Brook University,4,Summer,1,2008,334463,133728462,"Homework 5[1]Prove that the instantaneous voltage v(z,t) and instantaneous current i(z,t) on alossless transmission line, which are space and time dependent, behave as uniformplane waves.Hint: Any function of space and time which satisfies the classi",3/4/22 15:41,1,043c96e0c5807e79d4ce0b269f21cb4bb5f4fd8e,FALSE,FALSE,https://www.coursehero.com/file/133728462/EEO319-Homework-5docx/,EEO319_Homework 5.docx,31,,Assignment,,1.00001E+14,HighnessCrown8540,732,0.042349727,3/5/24 10:00,
334463,28238251,Electromagnetics and Transmission Line Theory,319,ESE,73511,779702,JayantParekh,0,JayantParekh,779702,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/334463-ESE319/,64,Stony Brook University,3,Spring,1,2023,28238251,192268707,,2/21/23 4:55,11,aca12173405552b831a30a271d643138405c4e6f,FALSE,FALSE,https://www.coursehero.com/file/192268707/Final-exam-with-solutionpdf/,Final_exam_with_solution.pdf,16,,,,1.00001E+14,AdmiralFreedomDog29,378,0.042328042,3/5/24 10:00,
334463,5936398,Electromagnetics and Transmission Line Theory,319,ESE,73511,779702,JayantParekh,0,JayantParekh,779702,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/334463-ESE319/,64,Stony Brook University,1,Fall,0,2016,5936398,104340711,"Homework 1[1]A uniform plane wavefunction has the instantaneous expression(x,t) = 5 sin(200t + 0.4x + 300).Identify or calculate the following:i)ii)iii)iv)v)vi)[2]thethethethethetheradian frequency  of the wave in radns/sfrequency f",8/29/21 16:01,1,522b7dcdcffe892d7e70d472a3aa4a3ce398e2a6,FALSE,FALSE,https://www.coursehero.com/file/104340711/082921-Homework-1docx/,082921 Homework 1.docx,37,,Assignment,,1.00001E+14,junk993510126,919,0.040261153,3/5/24 10:00,
334463,3500432,Electromagnetics and Transmission Line Theory,319,ESE,73511,779702,JayantParekh,0,JayantParekh,779702,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/334463-ESE319/,64,Stony Brook University,3,Spring,1,2014,3500432,32167018,Problem 7.2 Write general expressions for the electric and magnetic fields of a1-GHz sinusoidal plane wave traveling in the +y-direction in a lossless nonmagneticmedium with relative permittivity r = 9. The electric field is polarized along thex-direct,7/21/18 14:49,8,a8edd19ddcf24e55a862550ba83b8d94378e9f74,TRUE,FALSE,https://www.coursehero.com/file/32167018/HW-10a-solspdf/,HW #10a_sols.pdf,81,,Assignment,,1.00001E+14,svdhawdvd,2054,0.039435248,3/5/24 10:00,
