course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.professor.teacher_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username
16538905,33280925,,657,ECE,1062,122623,,0,,122623,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/16538905-ECE657/,164,University Of Arizona,1,Fall,0,2023,33280925,214999886,"Introduce yourself by sharing a movie or book you would recommend and why. Share onelesson you learned from the book or movie.Hello Class,My name is Shanell Ivy and to introduce myself I recommend the movie Toy Story; I alsorecommend it for both adult",2023-10-16 20:58:51,3,8956fc92ef26824c028dd4f235cd66fa29aae23f,True,False,https://www.coursehero.com/file/214999886/Introduce-yourself-by-sharing-a-movie-or-book-you-would-recommend-and-whydocx/,Introduce yourself by sharing a movie or book you would recommend and why.docx,0,,Other,,100000867132077,ProfGuineaPigMaster1210
17218948,32365574,,642,ECE,1062,122623,,0,,122623,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/17218948-ECE642/,164,University Of Arizona,1,Fall,0,2023,32365574,214995370,"1Leadership JournalShanell IvyECE 631: Building Family and Community PartnershipsInstructor: Heidi HarrisAugust 21, 20232Part 1: Creating and maintaining Family and Community partnerships in 21st CenturyEarly Childhood Education.Educational lead",2023-10-16 20:34:59,5,df059b8a95be87cc71d48eea277e38260cf81fcd,False,False,https://www.coursehero.com/file/214995370/Leadership-Journal-ECE-631docx/,Leadership Journal ECE 631.docx,0,,Other,,100000867132077,ProfGuineaPigMaster1210
16538905,33280925,,657,ECE,1062,122623,,0,,122623,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/16538905-ECE657/,164,University Of Arizona,1,Fall,0,2023,33280925,214994479,"""Assessment of children from birth through the preschool years is different from assessment ofolder people. Not only can young children not yet write or read, but the assessment of young,developing children also presents different challenges that influe",2023-10-16 20:30:10,4,c98e981aa00bc6347bd4ff28f92619ee78b62f6d,True,False,https://www.coursehero.com/file/214994479/Assessment-of-children-from-birth-through-the-preschool-years-is-different-from-assessment-of-older/,Assessment of children from birth through the preschool years is different from assessment of older ,0,,Other,,100000867132077,ProfGuineaPigMaster1210
17218948,32365574,,642,ECE,1062,122623,,0,,122623,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/17218948-ECE642/,164,University Of Arizona,1,Fall,0,2023,32365574,214994144,"Balanced Literacy PresentationShanell IvyUniversity of Arizona Global CampusDr. Tamecca FitzpatrickOctober 2, 2023Key Considerations in a Balanced Literacy ApproachThe balanced literacy approach is an instructionalorganization used to teach readin",2023-10-16 20:26:57,7,01b8a427efc008ff2bbbacf72734c9ee25713ddf,True,False,https://www.coursehero.com/file/214994144/Balanced-Literacy-Presentationpptx/,Balanced Literacy Presentation.pptx,0,,Other,,100000867132077,ProfGuineaPigMaster1210
16538905,33280925,,657,ECE,1062,122623,,0,,122623,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/16538905-ECE657/,164,University Of Arizona,1,Fall,0,2023,33280925,214994048,Week 1 Discussion-Part 2: Program ConnectionAssessment ChartThis part of your introduction will help you reflect on your previous learning experiences andconnect prior knowledge to what you will study throughout the next six weeks. Assessment isthe dr,2023-10-16 20:27:23,1,52523adaf6bebbae1ed3bc27945c92304dd4b20f,True,False,https://www.coursehero.com/file/214994048/ECE657-Week-1-Discussion-Part-2-Assessment-ChartLIBAMWCJDdocx/,ECE657- Week 1 Discussion -Part 2 Assessment Chart.LIB.AM.WC.JD.docx,0,,Other,,100000867132077,ProfGuineaPigMaster1210
17218948,32365574,,642,ECE,1062,122623,,0,,122623,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/17218948-ECE642/,164,University Of Arizona,1,Fall,0,2023,32365574,214993782,"1Integrating the Curriculum through Thematic TeachingShanell IvyUniversity of Arizona Global CampusDr. Tamecca FitzpatrickOctober 9, 20232Unit IntroductionThe benefits of a thematic curriculum to teachers, children, and the program are manifold.",2023-10-16 20:23:57,13,e87f3bd1f21f0f5307274def62651249729efa2c,False,False,https://www.coursehero.com/file/214993782/Integrating-the-Curriculum-through-Thematic-Teachingdocx/,Integrating the Curriculum through Thematic Teaching.docx,0,,Other,,100000867132077,ProfGuineaPigMaster1210
17218948,32365574,,642,ECE,1062,122623,,0,,122623,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/17218948-ECE642/,164,University Of Arizona,1,Fall,0,2023,32365574,214993743,"1Self-Regulation in CurriculumShanell IvyECE 642: Quality Curriculum in Early Childhood EducationDr. Tamecca FitzpatrickSeptember 18, 20232Self-RegulationSelf-regulation teaches children how to use patience and thinking before behaving. ""Itinvol",2023-10-16 20:21:52,8,378f08c8de5b94ca9da06ab43494604ea11a6723,False,False,https://www.coursehero.com/file/214993743/Self-Regulation-in-Curriculum-1docx/,Self-Regulation in Curriculum (1).docx,0,,Other,,100000867132077,ProfGuineaPigMaster1210
17218948,32365574,,642,ECE,1062,122623,,0,,122623,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/17218948-ECE642/,164,University Of Arizona,1,Fall,0,2023,32365574,214993516,"1Evaluating Effective LessonsShanell IvyThe University of Arizona Global CampusECE 642: Quality Curriculum in Early ChildhoodTamecca FitzpatrickSeptember 11, 20232Describe the Steps of Intentional PlanningAn intentional teacher ensure that their",2023-10-16 20:20:35,9,48c19c3cade3aa14f58130031b305eaca40990ff,True,False,https://www.coursehero.com/file/214993516/Evaluating-Effective-Lessons-1docx/,Evaluating Effective Lessons (1).docx,0,,Other,,100000867132077,ProfGuineaPigMaster1210
17218948,32365574,,642,ECE,1062,122623,,0,,122623,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/17218948-ECE642/,164,University Of Arizona,1,Fall,0,2023,32365574,214993046,Describe the connection between neuroplasticity and cognition and how yourunderstanding of neural development and cognitive processing will guide your work withchildren.The connection between neuroplasticity and cognition is that neuroplasticity refers,2023-10-16 20:18:01,2,946ce112ba7b55e566e758ffc3f4b27645e92576,True,False,https://www.coursehero.com/file/214993046/642-Discussion-1-week-5-docx/,642 Discussion 1 week 5 .docx,0,,Other,,100000867132077,ProfGuineaPigMaster1210
17218948,32365574,,642,ECE,1062,122623,,0,,122623,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/17218948-ECE642/,164,University Of Arizona,1,Fall,0,2023,32365574,214992924,"Aesthetic and Affective Lesson PlanShanell IvyUniversity of Arizona Global CampusDr. Tamecca FitzpatrickSeptember 25, 2023OverviewWhen planning meaningful activities in the affective and aesthetic domains ofdevelopment, teachers need to consider s",2023-10-16 20:15:14,9,3d6cec62ef14e8fc99edeea1a6874d2d0be1bafe,False,False,https://www.coursehero.com/file/214992924/Aesthetic-Domain-of-Developmentdocx/,Aesthetic Domain of Development.docx,0,,Other,,100000867132077,ProfGuineaPigMaster1210
15440130,29390692,,355,ECE,1062,122623,,0,,122623,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/15440130-ECE355/,164,University Of Arizona,1,Fall,0,2023,29390692,214954378,"1Writing an AnnotationJulie RandolphECE 355Megan CommitoAugust 22, 20232Writing an AnnotationWang, M.-T., &amp; Sheikh-Khalil, S. (2014). Does parental involvement matter for studentachievement and mental health in high school? Child Development, 85",2023-10-16 12:57:18,3,3e737cd77e6db6de498326c2fbbe051b0731c1ef,False,False,https://www.coursehero.com/file/214954378/ECE355Week1Assignmentdocx/,ECE355Week1Assignment.docx,0,,Other,,100000873127528,GrandElectronButterfly48
15440130,29390692,,355,ECE,1062,122623,,0,,122623,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/15440130-ECE355/,164,University Of Arizona,1,Fall,0,2023,29390692,214954351,"1Parent Education Project TemplatePart OneJulie RandolphUniversity of Arizona Global CampusECE 355: Understanding Behavior and Family DynamicsInstructor Megan CommitoSeptember 5, 20232Parent Education Project TemplatePart OneIntroductionThe T",2023-10-16 12:56:24,6,e5aae7839f2bd9059608441e2c8668a37ffd130c,False,False,https://www.coursehero.com/file/214954351/ECE355Week3Assignmentdocx/,ECE355Week3Assignment.docx,0,,Other,,100000873127528,GrandElectronButterfly48
15440130,29390692,,355,ECE,1062,122623,,0,,122623,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/15440130-ECE355/,164,University Of Arizona,1,Fall,0,2023,29390692,214954341,"1Parenting Across CulturesJulie RandolphECE 355Instructor Megan CommitoSeptember 12, 2023Parenting Across CulturesRaising ChildrenThe diverse parenting seen within the film Babies (2010) shows how parenting in othercountries may differ from what ",2023-10-16 12:56:24,4,f471cd051099a1293b7d002369008d298b1b7c38,False,False,https://www.coursehero.com/file/214954341/ECE355Week4Assignmentdocx/,ECE355Week4Assignment.docx,0,,Other,,100000873127528,GrandElectronButterfly48
239450,33065194,Computer Programming for Engineering Applications,175,ECE,1062,85650,Grubbs,0,Grubbs,85650,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/239450-ECE175/,164,University Of Arizona,1,Fall,1,2023,33065194,214500541,"Affine Cipher Pseudo-codeAuthor:Date created: February 15, 2020main() method:1.2.3.4.Initialize all the required variables.Open two of the files required for reading and writing and check that they are not NULL.Prompt the user to enter the corre",2023-10-12 06:16:07,1,11326e390d36d494b6a1438310be25b0f2c535ff,False,False,https://www.coursehero.com/file/214500541/Affine-Cipherdocx/,Affine Cipher.docx,1,,Other,,100000826745868,EarlChimpanzee1216
239450,33065194,Computer Programming for Engineering Applications,175,ECE,1062,85650,Grubbs,0,Grubbs,85650,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/239450-ECE175/,164,University Of Arizona,1,Fall,1,2023,33065194,214500482,ECE 175 Worksheet: StructsStudent Names: Vatsav SethupathiActivity 1: Slide 5 (5 mins)AttributeData typenameStringdiameterdoublenumber of moonsIntOrbit timeDoubleRotation timeDoubleAllocate variables for Earth and MarsActivity 2: Slide 10 ,2023-10-12 06:14:22,3,bc2d8d95fd6b194981320ea264b86830c890a14f,False,False,https://www.coursehero.com/file/214500482/Week-10-1docx/,Week 10 - 1.docx,0,,Other,,100000826745868,EarlChimpanzee1216
239450,33065194,Computer Programming for Engineering Applications,175,ECE,1062,85650,Grubbs,0,Grubbs,85650,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/239450-ECE175/,164,University Of Arizona,1,Fall,1,2023,33065194,214500480,ECE 175 Worksheet: Program Involving StringsStudent Names: Vatsav SethupathiActivity 1: Slide 4 (15 mins)Write a C program that receives as an in input A file to be searched A target wordand searches the input file for the target and counts its oc,2023-10-12 06:14:25,3,1d4edbb94a9fe2150e4ea384a325d9684ff67679,True,False,https://www.coursehero.com/file/214500480/Week-9-3docx/,Week 9 - 3.docx,0,,Other,,100000826745868,EarlChimpanzee1216
239450,33065194,Computer Programming for Engineering Applications,175,ECE,1062,85650,Grubbs,0,Grubbs,85650,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/239450-ECE175/,164,University Of Arizona,1,Fall,1,2023,33065194,214500456,ECE 175 Worksheet: String FunctionsStudent Names Vatsav SethupathiActivity 1: Slide 3 (6 mins)String Length Functionint stringLength(char x[ ]){int i = 0;while (x[i] != '\0')i+;return i;}Activity 2: Slide 5 (6 mins)String Concatenation Function,2023-10-12 06:14:25,2,4e084838b7cab22293a32fb1799d6d1f9d1e652b,False,False,https://www.coursehero.com/file/214500456/Week-9-2docx/,Week 9 - 2.docx,0,,Other,,100000826745868,EarlChimpanzee1216
239450,33065194,Computer Programming for Engineering Applications,175,ECE,1062,85650,Grubbs,0,Grubbs,85650,164,,https://www.coursehero.com/sitemap/schools/164-University-Of-Arizona/courses/239450-ECE175/,164,University Of Arizona,1,Fall,1,2023,33065194,214500424,"ECE 175 Worksheet: Singly Linked ListsStudent Names: Vatsav SethupathiActivity 1: Slide 9 (15 mins)int main(void){node *head = NULL, *temp = NULL , *tail = NULL;FILE *inp = fopen(""database.txt"", ""r"");while(!feof(inp){/ dynamically allocate memory f",2023-10-12 06:14:24,4,d5aba912bc1ebc587f7ff9cf87762a78d94e3595,False,False,https://www.coursehero.com/file/214500424/Week-12-1docx/,Week 12 - 1.docx,0,,Other,,100000826745868,EarlChimpanzee1216
