course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username,diff_date,avg_views,base_date,excerpt_notes
233673,233673,Intro to Electrical and Computer Engineering,302,EE,1174,3907,MCCANN,0,MCCANN,3907,2339,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/233673-EE302/,2339,University of Texas,1,Fall,0,2006,233673,3033875,"Department of Electrical and Computer EngineeringThe University of Texas at AustinEE 306, Fall 2006 Problem Set 2 Solutions Due: 20 September, before class 22 September, before discussion section Yale N. Patt, Instructor TAs: Aseem Bathla, Cameron ",2009/4/26 11:29,13,d18cbf6526eb459e5982c352f95deb0e1c82a559,TRUE,FALSE,https://www.coursehero.com/file/3033875/problemset2solutions/,problemset2solutions,2950,notes,Assignment,Notes,7960546,PresidentHackerFinch1276,5427,0.543578404,3/5/24 10:00,Unrelevant (EE 306)
233673,234063,Intro to Electrical and Computer Engineering,302,EE,1174,3904,TELANG,0,TELANG,3904,2339,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/233673-EE302/,2339,University of Texas,1,Fall,0,2007,234063,30104,"EE302 Homework #1 Chapter 1, Problem 6. The charge entering a certain element is shown in Fig. 1.23. Find the current at: (a) t = 1 ms (b) t = 6 ms (c) t = 10 msChapter 1, Solution 6. (a) At t = 1ms, i = (b) At t = 6ms, i =dq 80 = = 40 A dt 2dq",2008/3/22 12:46,6,656d7cb5bf0ae7356eb7d3f3ae1de9348c6e636c,TRUE,FALSE,https://www.coursehero.com/file/30104/EE-302-HW-1-Solutions/,EE 302 - HW 1 Solutions,3052,notes,Assignment,Notes,1516290080,Blfontenot,5827,0.523768663,3/5/24 10:00,
233673,238325,Circuits Analysis,302,EE,1174,46182,Neal,0,Neal,46182,2339,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/233673-EE302/,2339,University of Texas,3,Spring,0,2008,238325,136938,"HW 9 solutions Chapter 4, Problem 50. Obtain the Norton equivalent of the circuit in Fig. 4.116 to the left of terminals a-b. Use the result to find current iFigure 4.116 Chapter 4, Solution 50. From Fig. (a), RN = 6 + 4 = 10 ohms 6 6 Isc = IN 4 2A",2008/4/18 11:26,11,ae4c4700ef3c7cf78b5468aebb4e13d2f9450fd0,TRUE,FALSE,https://www.coursehero.com/file/136938/EE302-spring-2008-hw9a/,EE302_spring_2008_hw9a,2993,notes,Assignment,Notes,667224746,feplooptest,5800,0.516034483,3/5/24 10:00,
233673,4295061,Intro to Electrical and Computer Engineering,302,EE,1174,3907,MCCANN,0,MCCANN,3907,2339,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/233673-EE302/,2339,University of Texas,3,Spring,0,2014,4295061,18071956,"halliday_c22_580-604hr.qxd7-12-200914:16Page 580C HAP TE R22E LECTR IC FI E LDS22-1F+++ +Test charge q0+ +at point P+ ++ ++ + Chargedobject(a)The rod sets up anelectric field, whichcan create a forceon the test charge.EP++ ++ +",2016/11/29 20:33,25,f2869294528cf4a172db76164c9022936242505b,TRUE,FALSE,https://www.coursehero.com/file/18071956/FundamentalsofPhysicsExtended9th-ch22/,Fundamentals+of+Physics+Extended+9th-ch22,1284,,Assignment,,1.00001E+14,donnyg940916,2653,0.4839804,3/5/24 10:00,
233673,1395315,Intro to Electrical and Computer Engineering,302,EE,1174,129740,PATT,0,PATT,129740,2339,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/233673-EE302/,2339,University of Texas,3,Spring,0,2010,1395315,5786376,"Chapter 4, Problem 40. Find the Thevenin equivalent at terminals a-b of the circuit in Fig. 4.107. + Vo 10 k 70 V + _ 20 ka b+ 4 VoFigure 4.107 For Prob. 4.40. Solution. To obtain VTh, we apply KVL to the loop. 70 + (10 + 20)kI + 4Vo = 0 But Vo = 10kI",2010/2/13 20:06,8,62597f42316fdde32d67a35488bd8c2a89bbb278,TRUE,FALSE,https://www.coursehero.com/file/5786376/hw8a/,hw8a,2284,notes,Assignment,Notes,534235117,DarkGuju,5134,0.444877289,3/5/24 10:00,
233673,254153,Intro to Electrical and Computer Engineering,302,EE,1174,103432,Flynn,0,Flynn,103432,2339,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/233673-EE302/,2339,University of Texas,1,Fall,0,2007,254153,120255,"Chapter 4, Problem 24. Use source transformation to find the voltage Vx in the circuit of Fig. 4.92. 3A8 + Vx  40 V +10 10 2 VxFigure 4.92For Prob. 4.24.Solution. Transform the two current sources in parallel with the resistors into the",2008/4/16 13:14,7,c883a444dcaf765810a7a9728d7562d094f771aa,TRUE,FALSE,https://www.coursehero.com/file/120255/hw7-soultion/,hw7_soultion,2159,notes,Assignment,Notes,755259788,omex88,5802,0.372113064,3/5/24 10:00,
233673,10762767,Intro to Electrical and Computer Engineering,302,EE,1174,3907,MCCANN,0,MCCANN,3907,2339,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/233673-EE302/,2339,University of Texas,4,Summer,0,2019,10762767,10781325,"DUE DATE:02/18/2015DUE IN CLASSHomework 3EE 302: Introduction to Electrical EngineeringSpring 20151. [Nilsson &amp; Riedel, Problem 3.19](a) Suppose the voltage divider circuit P3.19(a) isconnected to the voltage divider shown incircuit P3.19(b), i.e",2015/2/18 9:32,2,ad9ee606ff56a451610d95c8a3c4118b6b302d30,FALSE,FALSE,https://www.coursehero.com/file/10781325/HW3-S15/,HW3_S15,1132,homework,Assignment,Homework Help,1.00001E+14,RichardW20,3303,0.342718741,3/5/24 10:00,
233673,1395315,Intro to Electrical and Computer Engineering,302,EE,1174,129740,PATT,0,PATT,129740,2339,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/233673-EE302/,2339,University of Texas,3,Spring,0,2010,1395315,6028624,"DCC ircuit The m ore sS rposition upeS rposition upeI n this le cture you will: , Le theprincipleof supe arn rposition Le how to apply theprincipleof supe arn rposition to solve DCcircuits Unde rstand thetrade in applying supe offs rposition ve rsus ",2010/11/30 16:13,158,902652f0aecffff019206a43c367e6c837942530,TRUE,FALSE,https://www.coursehero.com/file/6028624/EE302-4-Advanced-Topics/,EE302-4-Advanced Topics,1467,notes,Slides,Notes,1.00001E+14,skadamat,4844,0.302848885,3/5/24 10:00,
233673,1544626,Intro to Electrical and Computer Engineering,302,EE,1174,109545,Yu,0,Yu,109545,2339,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/233673-EE302/,2339,University of Texas,1,Fall,0,2012,1544626,7307244,"EE302 HW #1 Solutions1. Ulaby &amp; Maharbiz, Problem 1.6A certain cross section lies in the xy plane. If 31020 electrons go through the cross section in the z-directionin 4 seconds, and simultaneously, 1.51020 protons go through the same cross section in ",2012/11/19 18:45,6,a59f5a7e8d4285c6d3e42bb03b11ffa129aa5651,TRUE,FALSE,https://www.coursehero.com/file/7307244/HW1-F12-Solutions/,HW1_F12_Solutions,1126,notes,Assignment,Notes,1.00001E+14,hihihihihhi,4124,0.273035887,3/5/24 10:00,
233673,1395315,Intro to Electrical and Computer Engineering,302,EE,1174,129740,PATT,0,PATT,129740,2339,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/233673-EE302/,2339,University of Texas,3,Spring,0,2010,1395315,5786375,"Chapter 4, Problem 24. Use source transformation to find the voltage Vx in the circuit of Fig. 4.92. 3A8 + 40 V + _ Vx 10 10 2 VxFigure 4.92 Solution.For Prob. 4.24.Transform the two current sources in parallel with the resistors into their voltage",2010/2/13 20:06,7,9be3f1baa683c361acaa2501562a176c5469f6c7,TRUE,FALSE,https://www.coursehero.com/file/5786375/hw7a/,hw7a,1329,notes,Assignment,Notes,534235117,DarkGuju,5134,0.258862485,3/5/24 10:00,
