course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.professor.teacher_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username
4972690,32709989,Elements of Software Design,313E,CS,275,1095353,William Bulko,0,William Bulko,1095353,2339,,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/4972690-CS313E/,2339,University of Texas,1,Fall,0,2023,32709989,216735792,0.06Unit Step Response of Closed-Loop SystemI==Analytical Solution (y)MATLAB-Computed Solution (y.. MATLAB-Computed0.050.040.020.0145Time (s)Solution (yvalues)noZeroPole),10/31/23 22:46,1,c9ff7408e5b903be16829bb81333d8b0402c7628,FALSE,FALSE,https://www.coursehero.com/file/216735792/controls-3-3png/,controls_3_3.png,0,,Other,,1.00001E+14,lillyyang156
4972690,32709989,Elements of Software Design,313E,CS,275,1095353,William Bulko,0,William Bulko,1095353,2339,,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/4972690-CS313E/,2339,University of Texas,1,Fall,0,2023,32709989,216733475,Step Response for Different K Values (Input-Output Pair) for Kh = 0.51.211|||11K=1* ) POUAo Se~K=3K=10|-{.ONo.(@)}Amplitude0.80.2 |1234Time (seconds)5678,10/31/23 22:46,1,4cd435e57ef17b8e65e51dfc7627aa3814718487,FALSE,FALSE,https://www.coursehero.com/file/216733475/hw5-3-2-1png/,hw5_3_2_1.png,0,,Other,,1.00001E+14,lillyyang156
4972690,4972690,Elements of Software Design,313E,CS,275,1095353,William Bulko,0,William Bulko,1095353,2339,,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/4972690-CS313E/,2339,University of Texas,1,Fall,0,2015,4972690,216721909,Gift CardMark received a gift card for his favorite cafe from his daughter on Father'sday. The gift card is worth the amount of N dollars. He has to use it all atonce without any exchange possible. He wants to maximize the gift card'svalue by ordering,10/31/23 22:08,2,859bf43b24050a30c099ed5a3e87932662f145d4,FALSE,FALSE,https://www.coursehero.com/file/216721909/Gift-carddocx/,Gift card.docx,5,,Other,,1.00001E+14,MateCrabPerson1985
4972690,4972690,Elements of Software Design,313E,CS,275,1095353,William Bulko,0,William Bulko,1095353,2339,,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/4972690-CS313E/,2339,University of Texas,1,Fall,0,2015,4972690,216721542,"If search key = 60, identify the sequence of nodes that are visited and the outcome.",10/31/23 22:04,1,262a210cc90623147a162658a091e0548b753f6f,FALSE,FALSE,https://www.coursehero.com/file/216721542/Screen-Shot-2023-10-31-at-100409-PMpng/,Screen Shot 2023-10-31 at 10.04.09 PM.png,0,,Other,,1.00001E+14,MateCrabPerson1985
4972690,32709989,Elements of Software Design,313E,CS,275,1095353,William Bulko,0,William Bulko,1095353,2339,,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/4972690-CS313E/,2339,University of Texas,1,Fall,0,2023,32709989,216251754,"# File: Triangle.py# Description: A basic 2D Triangle class# Student Name:# Student UT EID:# Course Name:# Unique Number:import sysimport mathTOL = 0.01class Point(object):# constructordef _init_(self, x, y):self.x = float(x)self.y = float(y)",10/27/23 14:44,2,49c89649c89d8ff8b11d1c486053542a09f50874,FALSE,FALSE,https://www.coursehero.com/file/216251754/Trianglepy/,Triangle.py,0,,Other,,1.00001E+14,LieutenantRaccoonMaster355
4972690,32709989,Elements of Software Design,313E,CS,275,1095353,William Bulko,0,William Bulko,1095353,2339,,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/4972690-CS313E/,2339,University of Texas,1,Fall,0,2023,32709989,216251448,"#File: Meet.py#Description: Determine earlist meet time interval for two people#Student Name:#Student UT EID:#Course Name:#Unique Number:import sysdef earliestPossibleMeeting(person1, person2, duration):'person1: List[List[int]person2: Lis",10/27/23 14:44,1,34ac71c1efe2e3348a0a32e4a9d621dfd79c0214,FALSE,FALSE,https://www.coursehero.com/file/216251448/Meetpy/,Meet.py,0,,Other,,1.00001E+14,LieutenantRaccoonMaster355
4972690,32709989,Elements of Software Design,313E,CS,275,1095353,William Bulko,0,William Bulko,1095353,2339,,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/4972690-CS313E/,2339,University of Texas,1,Fall,0,2023,32709989,216251384,"#File: RightSum.py#Description: Get the right sum of the BST#Student Name:#Student UT EID:#Course Name:#Unique Number:import sysclass Queue(object):def _init_(self):self.queue = # add an item to the end of the queuedef enqueue(self, item)",10/27/23 14:44,2,2f46cd195fe3c518d523710e62bfa85c780a940f,FALSE,FALSE,https://www.coursehero.com/file/216251384/RightSumpy/,RightSum.py,0,,Other,,1.00001E+14,LieutenantRaccoonMaster355
4972690,32709989,Elements of Software Design,313E,CS,275,1095353,William Bulko,0,William Bulko,1095353,2339,,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/4972690-CS313E/,2339,University of Texas,1,Fall,0,2023,32709989,216251335,"#File: LCA.py#Description: Determines the lowest common ancestor of two nodes in a binary tree#Student Name:#Student UT EID:#Course Name:#Unique Number:class Node (object):def _init_ (self, data, left=None, right=None):self.data = dataself.",10/27/23 14:44,2,648fee68b90e5cab97cf8320dd0eeb7af2ecf4ca,FALSE,FALSE,https://www.coursehero.com/file/216251335/LCApy/,LCA.py,0,,Other,,1.00001E+14,LieutenantRaccoonMaster355
4972690,32709989,Elements of Software Design,313E,CS,275,1095353,William Bulko,0,William Bulko,1095353,2339,,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/4972690-CS313E/,2339,University of Texas,1,Fall,0,2023,32709989,216251333,"def generate_pd(n):if n % 2 = 1 or n = 0:return ans = [""]arr = createTree(n, ans)arr2 = arr.copy()print(arr2)for i in arr:c = 0for j in i:if j = ""p"":c += 1else:c -= 1if c != 0:# print(""removing"",i)arr2.remove(i)print(arr2)# return backtr",10/27/23 14:45,2,d6d187665134c710bdc9758d699ab51d7f5598c1,FALSE,FALSE,https://www.coursehero.com/file/216251333/Balancingpy/,Balancing.py,1,,Other,,1.00001E+14,LieutenantRaccoonMaster355
4972690,25548353,,313E,CS,275,103359,MITRA,0,MITRA,103359,2339,,https://www.coursehero.com/sitemap/schools/2339-University-of-Texas/courses/4972690-CS313E/,2339,University of Texas,1,Fall,0,2022,25548353,183743289,"# A top-down recursive implementationimport sys# Amount is amount = 4 and Coins are coins = {1, 2, 3},# 4 solutions: {1, 1, 1, 1}, {1, 1, 2}, {2, 2}, {1, 3}# Some documentation about the problem# https:/algorithmist.com/wiki/Coin_changedef coin_solu",12/12/22 7:03,2,0341e3c986ad2492492fef9226f7ad475946ccad,FALSE,FALSE,https://www.coursehero.com/file/183743289/example-018-DP-coin-change-numberspy/,example_018_DP_coin_change_numbers.py,3,,Code,,1.00001E+14,BaronElementMule26
