course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username
3255075,31590704,Design of Very Large-Scale Integrated (V,462,ELE,154180,730239,NaveenVerma,0,NaveenVerma,730239,14,https://www.coursehero.com/sitemap/schools/14-Princeton-University/courses/3255075-ELE462/,14,Princeton University,4,Summer,1,2023,31590704,207311031,,6/30/23 17:35,1,93c5894842c2239ea987518c3c0890032d25c8dc,FALSE,FALSE,https://www.coursehero.com/file/207311031/IMG-0653jpeg/,IMG_0653.jpeg,0,,Other,,1.00001E+14,LieutenantGalaxyLapwing25
3255030,29613438,System Design and Analysis,302,ELE,154180,729831,BradleyW.Dickinson,0,BradleyW.Dickinson,729831,14,https://www.coursehero.com/sitemap/schools/14-Princeton-University/courses/3255030-ELE302/,14,Princeton University,3,Spring,1,2023,29613438,195797616,"After an allocator obtains additional memory from the operating system usingthe sbrk or brk system call (depending on the implementation), it typicallyperforms some additional steps to prepare the new memory for use by theprogram.The allocator fir",3/18/23 22:13,1,94ebf8ddf98e6586c6644ae0851f2a1abe448939,FALSE,FALSE,https://www.coursehero.com/file/195797616/note-1pdf/,note 1.pdf,0,,Assignment,,1.00001E+14,BailiffMaskScorpion149
20848001,27303679,Biomechanics and Biomaterials: From Cells to Organisms,344,ELE,154180,2001234,professor_unknown,0,professor_unknown,2001234,0,https://www.coursehero.com/sitemap/schools/14-Princeton-University/courses/20848001-ELE344/,14,Princeton University,1,Fall,1,2022,27303679,185693160,"Engineering Project: Electronic DeviceStudent name: Shivam SinghDate handed out: _/ _/ _Teacher name:SubjectYear 9 ScienceTask TypeDesign TaskUnitElectronicsConditionsResearch and Planning (2 lessons), Creating and Testing (3 lessons), Evaluati",12/30/22 21:53,8,cf9044d5a95f0df4642bdb911b355a163c3d9e2d,TRUE,FALSE,https://www.coursehero.com/file/185693160/2022-Year-9-Electronics-Assignment-FINAL-Writendocx/,2022 Year 9 Electronics Assignment FINAL Writen.docx,5,,Assignment,,1.00001E+14,SuperHumanGoose2926
3255112,3255113,Electronic Devices,545,ELE,154180,730246,StephenY.Chou,0,StephenY.Chou,730246,14,https://www.coursehero.com/sitemap/schools/14-Princeton-University/courses/3255112-ELE545/,14,Princeton University,3,Spring,1,2014,3255113,172230491,,10/16/22 21:21,1,ff7c1498bab73b72d384c4ff47642e36543d817c,FALSE,FALSE,https://www.coursehero.com/file/172230491/IMG-7556JPG/,IMG_7556.JPG,1,,Other,,1.00001E+14,GeneralField8780
3255112,3255113,Electronic Devices,545,ELE,154180,730246,StephenY.Chou,0,StephenY.Chou,730246,14,https://www.coursehero.com/sitemap/schools/14-Princeton-University/courses/3255112-ELE545/,14,Princeton University,3,Spring,1,2014,3255113,172230490,,10/16/22 21:20,1,c97abda9db42aceda5a4b1e857aab62e2f75c832,FALSE,FALSE,https://www.coursehero.com/file/172230490/IMG-E7556JPG/,IMG_E7556.JPG,1,,Other,,1.00001E+14,GeneralField8780
3255112,3255113,Electronic Devices,545,ELE,154180,730246,StephenY.Chou,0,StephenY.Chou,730246,14,https://www.coursehero.com/sitemap/schools/14-Princeton-University/courses/3255112-ELE545/,14,Princeton University,3,Spring,1,2014,3255113,172230384,,10/16/22 21:20,1,68bd20de0f3837ab2eff439e2066c303301e4609,FALSE,FALSE,https://www.coursehero.com/file/172230384/IMG-7558JPG/,IMG_7558.JPG,0,,Other,,1.00001E+14,GeneralField8780
3255112,3255113,Electronic Devices,545,ELE,154180,730246,StephenY.Chou,0,StephenY.Chou,730246,14,https://www.coursehero.com/sitemap/schools/14-Princeton-University/courses/3255112-ELE545/,14,Princeton University,3,Spring,1,2014,3255113,172230381,,10/16/22 21:21,1,81c83e8970dadc077896f041d44c088d154ce422,FALSE,FALSE,https://www.coursehero.com/file/172230381/IMG-7557JPG/,IMG_7557.JPG,0,,Other,,1.00001E+14,GeneralField8780
3255112,3255113,Electronic Devices,545,ELE,154180,730246,StephenY.Chou,0,StephenY.Chou,730246,14,https://www.coursehero.com/sitemap/schools/14-Princeton-University/courses/3255112-ELE545/,14,Princeton University,3,Spring,1,2014,3255113,172230379,,10/16/22 21:20,1,9fde0c33eb2125207cbd40512842230df42b0bb8,FALSE,FALSE,https://www.coursehero.com/file/172230379/IMG-E7558JPG/,IMG_E7558.JPG,0,,Other,,1.00001E+14,GeneralField8780
3255112,3255113,Electronic Devices,545,ELE,154180,730246,StephenY.Chou,0,StephenY.Chou,730246,14,https://www.coursehero.com/sitemap/schools/14-Princeton-University/courses/3255112-ELE545/,14,Princeton University,3,Spring,1,2014,3255113,172230378,,10/16/22 21:20,1,31540e87c6533eaa374096fa804e8cf5fce3270f,FALSE,FALSE,https://www.coursehero.com/file/172230378/IMG-E7557JPG/,IMG_E7557.JPG,0,,Other,,1.00001E+14,GeneralField8780
3255112,3255113,Electronic Devices,545,ELE,154180,730246,StephenY.Chou,0,StephenY.Chou,730246,14,https://www.coursehero.com/sitemap/schools/14-Princeton-University/courses/3255112-ELE545/,14,Princeton University,3,Spring,1,2014,3255113,172230227,,10/16/22 21:15,1,b8c07a87c8b2e5a9172bbe1f7a56671f09a0657e,FALSE,FALSE,https://www.coursehero.com/file/172230227/IMG-7548PNG/,IMG_7548.PNG,1,,Other,,1.00001E+14,GeneralField8780
